Compname,Surface Metal Bandcenter,Surface Oxygen Bandcenter,Surface Metal Bader Charge,Bulk Metal Bandcenter,Bulk Oxygen Bandcenter,"Intermediate (*O, *OH or *OOH)",Bulk Metal Charge,Bulk Oxygen Charge,Surface Oxygen Bader Charge,Adsorbate Oxygen Bandcenter,Adsorbed Oxygen Bader Charge
V_2_V_1_Co_3_O_8,-1.734904452,-3.78103016,1.6209073333333333,-3.039337601,-4.862459591,OH,1.4512631666666664,-1.088447,-1.074057,-3.730238951,-1.072150333
V_2_V_1_Co_3_O_8,-2.157462266,-3.701302617,1.6235036666666665,-3.039337601,-4.862459591,OOH,1.4512631666666664,-1.088447,-1.0942425,-4.022015965,-0.515371667
Mg_2_Fe_4_O_8,-3.415848954,-2.581041099,1.6721336666666666,-5.36779889,-2.795247849,O,1.6842121666666667,-1.26315925,-1.17693175,-1.706097753,-0.610683
Mg_2_Fe_4_O_8,-4.330910402,-2.44903922,1.711926,-5.36779889,-2.795247849,OH,1.6842121666666667,-1.26315925,-1.24678425,-2.581558462,-1.1096235
Mg_2_Fe_4_O_8,-3.982605055,-2.843674088,1.6889653333333337,-5.36779889,-2.795247849,OOH,1.6842121666666667,-1.26315925,-1.29177875,-4.405011458,-0.505743
In_4_Mg_2_O_8,-2.346955472,-2.536291604,1.6965869999999998,-1.757533153,-1.821422568,O,1.7322939999999998,-1.2992205,-1.171077,-3.294911461,-0.365390333
In_4_Mg_2_O_8,-1.630388246,-1.443997374,1.7531346666666663,-1.757533153,-1.821422568,OH,1.7322939999999998,-1.2992205,-1.19599075,-1.869098878,-1.106771
In_4_Mg_2_O_8,-3.116598021,-2.664447355,1.719494,-1.757533153,-1.821422568,OOH,1.7322939999999998,-1.2992205,-1.26745125,-3.656416279,-0.412147333
Mn_2_Ga_4_O_8,-3.395917279,-3.17655724,1.6980743333333337,-2.681440022,-2.878492135,O,1.6983173333333335,-1.27373775,-1.238757,-2.990300477,-0.222287
Mn_2_Ga_4_O_8,-3.057089042,-2.513045238,1.795644333333333,-2.681440022,-2.878492135,OH,1.6983173333333335,-1.27373775,-1.18915025,-3.301926897,-1.195834333
Mn_2_Ga_4_O_8,-3.313310753,-2.811819345,1.7296726666666666,-2.681440022,-2.878492135,OOH,1.6983173333333335,-1.27373775,-1.24128775,-3.975551351,-0.47194
Hg_2_Mn_4_O_8,-3.766961703,-2.818491394,1.512242,-4.602873321,-3.584605858,O,0.9077771666666662,-0.680833,-1.01903175,-1.603109438,-0.5533385
Hg_2_Mn_4_O_8,-3.818690477,-2.792568708,1.5250152,-4.602873321,-3.584605858,OH,0.9077771666666662,-0.680833,-1.04944675,-3.259654306,-1.1415415
Hg_2_Mn_4_O_8,-3.846423219,-2.873214305,1.5158596000000002,-4.602873321,-3.584605858,OOH,0.9077771666666662,-0.680833,-1.0499605,-3.487728499,-0.5104295
Fe_4_Zr_2_O_8,-3.644106637,-3.563886924,1.8783663999999995,-3.965658052,-3.785197217,O,1.7321941666666667,-1.29914575,-1.2567485,-1.363755854,-0.597635
Fe_4_Zr_2_O_8,-3.438403022,-3.393720122,1.8673838,-3.965658052,-3.785197217,OH,1.7321941666666667,-1.29914575,-1.2747805,-2.841823936,-1.171882
Fe_4_Zr_2_O_8,-3.653062107,-3.693315913,1.8513833999999996,-3.965658052,-3.785197217,OOH,1.7321941666666667,-1.29914575,-1.26297375,-3.15945973,-0.520893
Fe_4_Cu_2_O_8,-3.879916774,-3.377386621,1.4844290000000002,-5.24794768,-3.314603103,O,1.5162526666666665,-1.1371895,-1.1094315,-4.413329056,-0.172575667
Fe_4_Cu_2_O_8,-4.168520139,-2.715811275,1.5098173333333336,-5.24794768,-3.314603103,OH,1.5162526666666665,-1.1371895,-1.07768025,-2.401212132,-1.052373667
Fe_4_Cu_2_O_8,-3.757574739,-3.318736263,1.4939103333333332,-5.24794768,-3.314603103,OOH,1.5162526666666665,-1.1371895,-1.1197225,-3.939978199,-0.408377333
V_4_Co_2_O_8,-2.358368152,-3.840013247,1.6318279999999998,-2.844853754,-3.847803638,O,1.5667936666666666,-1.17509525,-1.07009325,-2.48931564,-0.578755
V_4_Co_2_O_8,-2.247805582,-3.936141132,1.5883953333333334,-2.844853754,-3.847803638,OH,1.5667936666666666,-1.17509525,-1.0688345,-3.945721851,-1.167882333
V_4_Co_2_O_8,-2.184918074,-3.69783888,1.56301,-2.844853754,-3.847803638,OOH,1.5667936666666666,-1.17509525,-1.106754,-3.668224585,-0.496323667
Zn_2_Al_4_O_8,-7.696814484,-3.622525044,2.043993333333333,-5.237927348,-2.507747472,O,2.0640243333333332,-1.548018375,-1.50891275,-4.354860574,-0.143097
Zn_2_Al_4_O_8,-6.005539181,-2.34920803,2.0668409999999997,-5.237927348,-2.507747472,OH,2.0640243333333332,-1.548018375,-1.37819925,-2.138170844,-1.142745667
Zn_2_Al_4_O_8,-6.905134166,-3.614000949,2.0651923333333335,-5.237927348,-2.507747472,OOH,2.0640243333333332,-1.548018375,-1.48972075,-3.955152478,-0.468824333
Mn_2_Pd_1_Mn_3_O_8,-3.670906427,-2.998308974,1.5082779999999998,-4.027445357,-3.838859429,O,0.031945666666666504,-0.02395925,-1.0218745,-1.829182783,-0.421354667
Mn_2_Pd_1_Mn_3_O_8,-3.467303834,-2.921547718,1.4954936666666663,-4.027445357,-3.838859429,OH,0.031945666666666504,-0.02395925,-0.948595,-3.155620911,-1.181994
Mn_2_Pd_1_Mn_3_O_8,-3.438954361,-2.744797523,1.4527886666666667,-4.027445357,-3.838859429,OOH,0.031945666666666504,-0.02395925,-1.0578265,-3.546369827,-0.447501
Co_2_Co_3_Ga_1_O_8,-2.95603413,-3.01648521,1.4999163333333332,-2.450624355,-3.286980873,O,1.3790333333333333,-1.03427525,-1.08101025,-3.158909425,-0.244887333
Co_2_Co_3_Ga_1_O_8,-2.319435402,-2.845157357,1.4958916666666664,-2.450624355,-3.286980873,OH,1.3790333333333333,-1.03427525,-1.0158335,-2.616195752,-0.95636
Co_2_Co_3_Ga_1_O_8,-3.342537298,-3.918058222,1.472138666666667,-2.450624355,-3.286980873,OOH,1.3790333333333333,-1.03427525,-1.113979,-4.404940917,-0.480915
Ba_2_Cr_4_O_8,-1.600487764,-3.506529429,1.7247389999999998,-2.114640734,-2.365792001,O,1.590016,-1.192512,-0.98455775,-2.238040442,-0.777646
Ba_2_Cr_4_O_8,-2.407864801,-3.002319454,1.707255,-2.114640734,-2.365792001,OH,1.590016,-1.192512,-1.0469965,-2.780949707,-1.263503
Ba_2_Cr_4_O_8,-2.377818709,-2.835593526,1.657217,-2.114640734,-2.365792001,OOH,1.590016,-1.192512,-1.1934535,-3.528202347,-0.474070333
Mn_2_Rh_1_Mn_3_O_8,-3.506440704,-3.22457126,1.5720189999999998,-3.976433456,-4.014068148,O,0.039986833333333305,-0.02999,-1.034376,-2.165652233,-0.463478333
Mn_2_Rh_1_Mn_3_O_8,-3.336128093,-3.071146549,1.5159066666666667,-3.976433456,-4.014068148,OH,0.039986833333333305,-0.02999,-1.01984825,-2.948715278,-1.095226
